rsnm,rscd,stnm,stcd,stationCode,测站编码,坝顶高程,校核洪水位,设计洪水位,防洪高水位,死水位,历史最高库水位,汛限水位（前汛期）,汛限水位（后汛期）,防洪运用水位,征地水位,移民水位,蓄洪限制水位,人员紧急转移水位,
三门峡水库,41020200001-Z1,史家滩,40104430,BDA00000111,40104430,351.65,,,333.65,,331.23,305,,333.65,,,,318,
小浪底水库,41032200001-Z1,小浪底上,40104690,BDA00000121,40104690,281,275,274,275,230,273.5,235,248,,,,,,
河口村水库,41000020005-A2,河口村水库,41701500,BDA00000761,41701500,288.5,285.43,285.43,285.43,225,279.89,238,275,,,,285.43,283,
故县水库,41032800001-Z1,故县水库,41605400,BDA80000661,41605400,551.84,549.86,547.39,546.84,498.84,537.75,527.3,534.3,,533.64,543.04,546.84,535.84,
陆浑水库,41000010001-A2,陆浑坝上,41602500,BDA80200721,41602500,333,331.8,327.5,323,298,320.91,317,317.5,,319.5,325,323,319.5,
龙羊峡水库,,龙羊峡,,BDA00000011,40100400,2610,2607,2602.25,,2530,2600.91,2594,,,,,,,
刘家峡水库,,刘家峡,,BDA00000031,40100780,1739,1738,1735,,1694,1735.81,1726,,,,,,,
青铜峡水库,,青铜峡,,BDA00000072,,,,,,,,,,,,,,,
海勃湾水库,,海勃湾,,BDA00000081,,,,,,,,,,,,,,,
万家寨水库,,万家寨,,BDA00000092,40103458,982,979.1,974.99,,,,966,,,984,987,,,
龙口水库,,龙口,,BDA00000101,,,,,,,,,,,,,,,
西霞院水库,,西霞院,,BDA00000171,,,,,,,,,,,,,,,
东平湖水库,,东平湖,,BDD11000012,41502460,,,,,,,40.72,41.72,43.22,,,,,
金牛岭水库,,金牛岭水库,,BDD12000001,,,,,,,,,,,,,,,
寺河水库,,寺河水库,,BDD12000002,,,,,,,,,,,,,,,
段家沟水库,,段家沟水库,,BDD12000003,,,,,,,,,,,,,,,
坞罗水库,,坞罗水库,,BDD12000004,,,,,,,,,,,,,,,
大沟口水库,,大沟口水库,,BDD12000005,,,,,,,,,,,,,,,
洛阳市龙脖水库,,洛阳市龙脖水库,,BDD12000006,,,,,,,,,,,,,,,
范店水库,,范店水库,,BDD12000007,,,,,,,,,,,,,,,
九龙角水库,,九龙角水库,,BDD12000008,,,,,,,,,,,,,,,
刘瑶水库,,刘瑶水库,,BDD12000009,,,,,,,,,,,,,,,
陶花店水库,,陶花店水库,,BDD12000010,,,,,,,,,,,,,,,
禹门河水库,,禹门河水库,,BDD12000011,,,,,,,,,,,,,,,
青沟水库,,青沟,,BDD12000012,,,,,,,,,,,,,,,
麻家砭水库,,麻家砭,,BDD12000013,,,,,,,,,,,,,,,
西段村水库,,西段村,,BDD12000014,,,,,,,,,,,,,,,
